waktu,keyakinan_konsumen
1/1/2021,84.9
2/1/2021,85.8
3/1/2021,93.4
4/1/2021,101.5
5/1/2021,104.4
6/1/2021,107.4
7/1/2021,80.2
8/1/2021,77.3
9/1/2021,95.5
10/1/2021,113.4
11/1/2021,118.5
12/1/2021,118.3
1/1/2022,119.6
2/1/2022,113.1
3/1/2022,111
4/1/2022,113.1
5/1/2022,128.9
6/1/2022,128.2
7/1/2022,123.2
8/1/2022,124.7
9/1/2022,117.2
10/1/2022,120.3
11/1/2022,119.1
12/1/2022,119.9
1/1/2023,123
2/1/2023,122.4
3/1/2023,123.3
4/1/2023,126.1
5/1/2023,128.3
6/1/2023,127.1
7/1/2023,123.5
8/1/2023,125.2
9/1/2023,121.7
10/1/2023,124.3
11/1/2023,123.6
12/1/2023,123.8
1/1/2024,125
2/1/2024,123.1
3/1/2024,123.8
4/1/2024,127.7
5/1/2024,125.2
6/1/2024,123.3
7/1/2024,123.4
8/1/2024,124.4
9/1/2024,123.5
10/1/2024,121.1
11/1/2024,125.9
12/1/2024,127.7
1/1/2025,127.2
2/1/2025,126.4
3/1/2025,121.1
4/1/2025,121.7
5/1/2025,117.5
6/1/2025,117.8
7/1/2025,118.1
