waktu,PDB_auto_c2c,PDB_auto_q2q,PDB_auto_yoy
1/1/2021,"-5,47","1,57","-5,47"
2/1/2021,"-5,47","1,57","-5,47"
3/1/2021,"-5,47","1,57","-5,47"
4/1/2021,"12,31","1,33","37,89"
5/1/2021,"12,31","1,33","37,89"
6/1/2021,"12,31","1,33","37,89"
7/1/2021,"13,18","1,44","14,93"
8/1/2021,"13,18","1,44","14,93"
9/1/2021,"13,18","1,44","14,93"
10/1/2021,"12,13","4,66","9,26"
11/1/2021,"12,13","4,66","9,26"
12/1/2021,"12,13","4,66","9,26"
1/1/2022,"7,45","-0,11","7,45"
2/1/2022,"7,45","-0,11","7,45"
3/1/2022,"7,45","-0,11","7,45"
4/1/2022,"5,38","-2,55","3,34"
5/1/2022,"5,38","-2,55","3,34"
6/1/2022,"5,38","-2,55","3,34"
7/1/2022,"5,60","4,09","6,03"
8/1/2022,"5,60","4,09","6,03"
9/1/2022,"5,60","4,09","6,03"
10/1/2022,"5,94","5,50","6,88"
11/1/2022,"5,94","5,50","6,88"
12/1/2022,"5,94","5,50","6,88"
1/1/2023,"6,95","-0,05","6,95"
2/1/2023,"6,95","-0,05","6,95"
3/1/2023,"6,95","-0,05","6,95"
4/1/2023,"6,80","-2,83","6,65"
5/1/2023,"6,80","-2,83","6,65"
6/1/2023,"6,80","-2,83","6,65"
7/1/2023,"6,31","2,82","5,35"
8/1/2023,"6,31","2,82","5,35"
9/1/2023,"6,31","2,82","5,35"
10/1/2023,"4,51","-0,37","-0,51"
11/1/2023,"4,51","-0,37","-0,51"
12/1/2023,"4,51","-0,37","-0,51"
1/1/2024,"-0,11","0,35","-0,11"
2/1/2024,"-0,11","0,35","-0,11"
3/1/2024,"-0,11","0,35","-0,11"
4/1/2024,"-0,08","-2,76","-0,04"
5/1/2024,"-0,08","-2,76","-0,04"
6/1/2024,"-0,08","-2,76","-0,04"
7/1/2024,"-0,02","2,95","0,09"
8/1/2024,"-0,02","2,95","0,09"
9/1/2024,"-0,02","2,95","0,09"
10/1/2024,"-0,05","-0,60","-0,14"
11/1/2024,"-0,05","-0,60","-0,14"
12/1/2024,"-0,05","-0,60","-0,14"
1/1/2025,"-0,55","-0,07","-0,55"
2/1/2025,"-0,55","-0,07","-0,55"
3/1/2025,"-0,55","-0,07","-0,55"
4/1/2025,"-0,34","-2,35","-0,13"
5/1/2025,"-0,34","-2,35","-0,13"
6/1/2025,"-0,34","-2,35","-0,13"
7/1/2025,"-0,34","-2,35","-0,13"
