waktu,USD,JPY,GBP,CHF,SGD,MYR,HKD,AUD,CAD
1/1/2021,14084,13482,19311,15837,10584,3475,1817,10783,10960
2/1/2021,14229,13429,19948,15734,10734,3514,1835,11196,11302
3/1/2021,14572,13166,20004,15447,10818,3508,1874,11080,11543
4/1/2021,14468,13276,20171,15894,10906,3527,1864,11253,11760
5/1/2021,14310,13025,20321,15935,10815,3462,1844,11061,11842
6/1/2021,14496,13106,20061,15738,10781,3493,1867,10915,11709
7/1/2021,14491,13194,20224,15953,10703,3423,1864,10726,11624
8/1/2021,14374,13087,19784,15701,10679,3456,1846,10489,11396
9/1/2021,14307,12852,19323,15397,10540,3419,1838,10373,11277
10/1/2021,14199,12497,19525,15457,10536,3421,1826,10667,11479
11/1/2021,14340,12653,19127,15502,10477,3382,1839,10242,11244
12/1/2021,14269,12389,19200,15544,10534,3416,1830,10344,11139
1/1/2022,14381,12447,19233,15447,10600,3427,1845,10077,11263
2/1/2022,14371,12533,19341,15621,10631,3420,1840,10328,11220
3/1/2022,14349,11794,18854,15502,10605,3413,1833,10783,11497
4/1/2022,14418,11268,18087,14932,10449,3307,1837,10310,11225
5/1/2022,14544,11425,18372,15201,10638,3327,1853,10454,11459
6/1/2022,14848,10904,18074,15546,10685,3374,1892,10209,11532
7/1/2022,14958,11034,18223,15593,10829,3362,1906,10468,11680
8/1/2022,14875,10744,17456,15330,10656,3319,1895,10303,11451
9/1/2022,15247,10536,16436,15487,10563,3281,1942,9824,11092
10/1/2022,15542,10565,17901,15626,11006,3291,1980,9980,11425
11/1/2022,15737,11392,18954,16607,11459,3490,2014,10575,11727
12/1/2022,15731,11757,18926,16968,11659,3556,2019,10581,11566
1/1/2023,14979,11548,18540,16234,11407,3528,1912,10613,11230
2/1/2023,15274,11224,18275,16227,11315,3411,1947,10266,11235
3/1/2023,15062,11371,18603,16422,11342,3407,1919,10108,11124
4/1/2023,14751,11024,18380,16533,11046,3307,1879,9765,10818
5/1/2023,14969,10673,18499,16513,11053,3245,1911,9781,11020
6/1/2023,15026,10492,19142,16787,11102,3213,1919,10030,11422
7/1/2023,15083,10791,19273,17270,11307,3311,1934,9990,11386
8/1/2023,15239,10410,19256,17316,11265,3281,1942,9852,11238
9/1/2023,15526,10420,18861,16942,11334,3300,1985,9906,11484
10/1/2023,15916,10645,19254,17608,11636,3341,2035,10116,11485
11/1/2023,15384,10442,19542,17529,11554,3306,1973,10202,11342
12/1/2023,15416,10955,19760,18374,11712,3342,1973,10565,11689
1/1/2024,15796,10723,20057,18346,11796,3341,2021,10447,11782
2/1/2024,15673,10396,19840,17790,11647,3291,2003,10200,11563
3/1/2024,15853,10451,20022,17508,11766,3351,2026,10346,11660
4/1/2024,16249,10445,20366,17828,11949,3404,2076,10667,11900
5/1/2024,16253,10353,20656,17860,12023,3453,2079,10742,11847
6/1/2024,16421,10228,20746,18299,12096,3479,2103,10940,11997
7/1/2024,16320,10540,20972,18411,12144,3533,2089,10692,11785
8/1/2024,15409,10649,20357,18295,11838,3564,1976,10489,11447
9/1/2024,15138,10566,20237,17900,11788,3675,1946,10417,11222
10/1/2024,15732,10260,20465,18137,11878,3587,2025,10319,11303
11/1/2024,15864,10453,20068,17945,11806,3567,2039,10283,11310
12/1/2024,16162,10236,20333,17921,11919,3616,2082,10082,11225
1/1/2025,16259,10524,20246,17939,12046,3701,2087,10117,11276
2/1/2025,16431,11008,20813,18330,12257,3701,2113,10347,11459
3/1/2025,16588,11030,21417,18771,12406,3745,2134,10481,11640
4/1/2025,16787,11789,22532,20387,12847,3885,2164,10794,12148
5/1/2025,16255,11308,21985,19703,12626,3837,2074,10480,11808
6/1/2025,16233,11268,22298,20257,12748,3844,2068,10606,11846
7/1/2025,16387,11067,21894,20360,12726,3866,2088,10655,11902
