waktu,usia_produktif
1/1/2021,119988.2
2/1/2021,119988.2
3/1/2021,119988.2
4/1/2021,119988.2
5/1/2021,119988.2
6/1/2021,119988.2
7/1/2021,119988.2
8/1/2021,119988.2
9/1/2021,119988.2
10/1/2021,119988.2
11/1/2021,119988.2
12/1/2021,119988.2
1/1/2022,121301.2
2/1/2022,121301.2
3/1/2022,121301.2
4/1/2022,121301.2
5/1/2022,121301.2
6/1/2022,121301.2
7/1/2022,121301.2
8/1/2022,121301.2
9/1/2022,121301.2
10/1/2022,121301.2
11/1/2022,121301.2
12/1/2022,121301.2
1/1/2023,122319.1
2/1/2023,122319.1
3/1/2023,122319.1
4/1/2023,122319.1
5/1/2023,122319.1
6/1/2023,122319.1
7/1/2023,122319.1
8/1/2023,122319.1
9/1/2023,122319.1
10/1/2023,122319.1
11/1/2023,122319.1
12/1/2023,122319.1
1/1/2024,123382.6
2/1/2024,123382.6
3/1/2024,123382.6
4/1/2024,123382.6
5/1/2024,123382.6
6/1/2024,123382.6
7/1/2024,123382.6
8/1/2024,123382.6
9/1/2024,123382.6
10/1/2024,123382.6
11/1/2024,123382.6
12/1/2024,123382.6
1/1/2025,124344.1
2/1/2025,124344.1
3/1/2025,124344.1
4/1/2025,124344.1
5/1/2025,124344.1
6/1/2025,124344.1
7/1/2025,124344.1
